id_item_a,id_item_b
54,5695
6565,7095
1155,4613
4760,5318
2632,3570
1782,9733
496,6999
2102,2982
7800,9418
2036,9834
6126,8249
759,6438
5056,5613
4001,9967
3758,8064
550,8833
1692,1971
3372,4891
1453,1576
6036,6927
6382,8207
4535,7045
4402,7201
8676,8783
1376,7765
2416,2603
3203,4895
613,3802
956,2037
3612,3974
2380,9438
9084,9957
4659,7832
1421,8600
1781,9221
3775,6650
1759,2100
829,7585
156,6737
1132,5814
295,2912
1354,7789
7520,7759
4910,8854
965,2788
1191,9184
2729,6686
2470,6471
3502,6104
4050,9611
1309,6353
4738,9903
124,4854
4516,7358
2518,6137
799,5662
653,965
3050,8758
1365,4302
2752,5873
333,6514
1951,3109
1497,7041
7731,9778
120,1243
3523,6508
3027,9614
1928,6573
563,9093
6060,8106
4665,5909
519,4527
2267,7483
4782,4900
3638,7211
2451,8091
1686,5237
2636,7283
1415,1420
1605,1679
5770,8669
1235,2260
3846,4593
3342,5529
2744,8654
3435,4776
2102,9964
4604,7370
8509,9923
986,3627
2531,6533
1354,6358
4636,7864
7119,7182
117,1690
1301,3092
6146,8702
2303,5395
1042,4793
511,2761
2833,6806
5413,8731
5534,6474
2754,6083
2786,3670
603,8013
752,7185
4203,5797
1774,6281
940,1042
2622,8561
7420,7699
730,5904
4482,9185
1686,8260
2679,6866
3018,9629
3100,8842
152,6500
7348,7977
69,2892
8725,9967
563,1408
6527,9619
3771,9020
2033,5518
5852,8982
7462,7750
3067,3404
2841,5274
7360,9023
682,8365
7158,9055
6399,7287
2279,7698
647,8528
1877,7496
5172,9252
1240,5115
5691,6311
7826,8282
2312,7422
6987,8562
655,5072
4987,6246
3344,8545
2323,6457
4440,8890
1254,6206
4503,9151
158,4231
2125,3237
2344,4801
3266,8807
2817,9736
28,5901
7390,8856
6150,6369
2415,9945
899,8637
6320,8113
2189,9339
3616,9121
5605,7899
3275,7389
5765,6399
1447,3060
4122,8032
3075,4457
3019,7715
3418,6475
73,2641
2123,2970
1309,4723
1730,2419
1578,8055
5376,6170
5987,7938
1281,5861
6418,8205
8147,9582
3524,9135
2303,2839
5877,6468
783,6359
1124,1201
6543,9267
4790,4865
7583,7644
3593,4256
1275,2615
1112,8720
828,2745
1889,9934
2769,6579
8027,9952
4168,9585
789,5017
1646,7696
6364,9279
